channel,date,path,status,message
chla,2010-01-02,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100102.nc,OK,ok
chla,2010-01-03,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100103.nc,OK,ok
chla,2010-01-06,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100106.nc,OK,ok
chla,2010-01-05,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100105.nc,OK,ok
chla,2010-01-08,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100108.nc,OK,ok
chla,2010-01-01,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100101.nc,OK,ok
chla,2010-01-07,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100107.nc,OK,ok
chla,2010-01-09,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100109.nc,OK,ok
chla,2010-01-10,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100110.nc,OK,ok
chla,2010-01-11,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100111.nc,OK,ok
chla,2010-01-12,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100112.nc,OK,ok
