
Loaded 985020 rows  |  methods: ['AE_2d_l128', 'AE_2d_l16', 'AE_2d_l32', 'AE_2d_l32_chl', 'AE_2d_l32_chlk49nfl', 'AE_2d_l32_chlk49sst', 'AE_2d_l32_chlnflsst', 'AE_2d_l32_k49nflsst', 'AE_2d_l32_mae015', 'AE_2d_l32_mae030', 'AE_2d_l32_mae040', 'AE_2d_l32_mae050', 'AE_2d_l32_mae070', 'AE_2d_l4', 'AE_2d_l64', 'AE_3d_l128_t4', 'AE_3d_l16_t4', 'AE_3d_l32_t4', 'AE_3d_l32_t4_chl', 'AE_3d_l32_t4_chlk49nfl', 'AE_3d_l32_t4_chlk49sst', 'AE_3d_l32_t4_chlnflsst', 'AE_3d_l32_t4_k49nflsst', 'AE_3d_l32_t4_mae015', 'AE_3d_l32_t4_mae030', 'AE_3d_l32_t4_mae040', 'AE_3d_l32_t4_mae050', 'AE_3d_l32_t4_mae070', 'AE_3d_l4_t4', 'AE_3d_l64_t4', 'B1_chla_zscore', 'B2_multivar_zscore', 'B3T_pca_k128_t4', 'B3T_pca_k16_t4', 'B3T_pca_k32_t4', 'B3T_pca_k4_t4', 'B3T_pca_k64_t4', 'B3_pca_k128', 'B3_pca_k16', 'B3_pca_k32', 'B3_pca_k4', 'B3_pca_k64']  |  regions: 5

============================================================================================
Method                                   Region                                  Mean      Std
--------------------------------------------------------------------------------------------
AE_2d_l128                               Overall (WA–OR–N. CA coastal)          0.216    0.135
AE_2d_l16                                Overall (WA–OR–N. CA coastal)          0.305    0.176
AE_2d_l32                                Overall (WA–OR–N. CA coastal)          0.269    0.160
AE_2d_l32_chl                            Overall (WA–OR–N. CA coastal)          0.074    0.062
AE_2d_l32_chlk49nfl                      Overall (WA–OR–N. CA coastal)          0.245    0.154
AE_2d_l32_chlk49sst                      Overall (WA–OR–N. CA coastal)          0.193    0.139
AE_2d_l32_chlnflsst                      Overall (WA–OR–N. CA coastal)          0.163    0.093
AE_2d_l32_k49nflsst                      Overall (WA–OR–N. CA coastal)          0.173    0.098
AE_2d_l32_mae015                         Overall (WA–OR–N. CA coastal)          0.285    0.169
AE_2d_l32_mae030                         Overall (WA–OR–N. CA coastal)          0.359    0.224
AE_2d_l32_mae040                         Overall (WA–OR–N. CA coastal)          0.447    0.284
AE_2d_l32_mae050                         Overall (WA–OR–N. CA coastal)          0.595    0.394
AE_2d_l32_mae070                         Overall (WA–OR–N. CA coastal)          1.342    1.045
AE_2d_l4                                 Overall (WA–OR–N. CA coastal)          0.439    0.247
AE_2d_l64                                Overall (WA–OR–N. CA coastal)          0.231    0.144
AE_3d_l128_t4                            Overall (WA–OR–N. CA coastal)          0.243    0.154
AE_3d_l16_t4                             Overall (WA–OR–N. CA coastal)          0.364    0.230
AE_3d_l32_t4                             Overall (WA–OR–N. CA coastal)          0.303    0.186
