date,site,lat,lon,da_raw,modis_sst,beuti,pdo,oni,sst_anom,discharge,modis_flr,pn_log,month,last_observed_da_raw,predicted_da,predicted_category,spike_probability,spike_alert,q05,q50,q95
2022-01-03,Cannon Beach,45.881944,-123.959444,,9.63,13.37,-0.25,-0.8,0.16,3209.1,0.00557,0.672,1,0.0,0.0,0,0.023,False,0.0,0.0,11.19
2022-01-10,Cannon Beach,45.881944,-123.959444,,9.75,-4.66,0.61,-0.76,0.75,3588.7,0.00668,3.236,1,0.0,0.0,0,0.023,False,0.0,0.0,1.12
2022-01-17,Cannon Beach,45.881944,-123.959444,,9.78,-11.86,1.0,-0.58,1.17,2500.0,0.00526,1.06,1,0.0,1.88,0,0.036,False,0.67,1.88,4.31
2022-01-24,Cannon Beach,45.881944,-123.959444,1.29,10.7,7.91,0.36,-0.63,0.9,4302.4,0.00841,4.076,1,1.29,1.53,0,0.033,False,0.93,1.53,5.36
2022-01-31,Cannon Beach,45.881944,-123.959444,,10.69,-1.56,0.17,-0.88,0.89,3363.3,0.00582,2.726,1,1.29,0.07,0,0.023,False,0.0,0.07,2.43
2022-02-07,Cannon Beach,45.881944,-123.959444,,11.05,3.56,0.75,-0.87,0.6,5202.2,0.01511,0.876,2,1.29,4.93,0,0.075,False,3.14,4.93,12.08
2022-02-14,Cannon Beach,45.881944,-123.959444,,10.59,4.21,1.05,-0.9,0.08,5088.3,0.00656,1.168,2,1.29,3.82,0,0.058,False,2.5,3.82,9.33
2022-02-21,Cannon Beach,45.881944,-123.959444,,11.03,-3.71,0.5,-0.86,0.08,3641.9,0.00614,3.083,2,1.29,6.82,1,0.115,True,1.41,6.82,9.25
2022-02-28,Cannon Beach,45.881944,-123.959444,0.69,11.91,0.58,0.58,-0.68,0.23,2500.0,0.00811,0.823,2,0.69,5.25,1,0.08,False,3.02,5.25,26.3
2022-03-07,Cannon Beach,45.881944,-123.959444,,12.03,11.58,0.92,-0.61,0.69,4598.4,0.00697,2.868,3,0.69,2.75,0,0.045,False,0.32,2.75,7.8
2022-03-14,Cannon Beach,45.881944,-123.959444,,12.28,26.17,0.48,-0.57,0.33,5257.6,0.01072,3.239,3,0.69,3.64,0,0.055,False,1.89,3.64,10.77
2022-03-21,Cannon Beach,45.881944,-123.959444,,12.71,14.91,0.43,-0.67,0.36,7718.4,0.01365,3.746,3,0.69,8.94,1,0.18,True,5.16,8.94,15.13
2022-03-28,Cannon Beach,45.881944,-123.959444,,13.16,26.69,0.36,-0.83,0.09,7351.8,0.01621,4.043,3,0.69,18.01,1,0.68,True,10.74,18.01,30.65
2022-04-04,Cannon Beach,45.881944,-123.959444,,12.62,-0.05,0.74,-1.02,0.7,7247.3,0.0154,4.328,4,0.69,0.63,0,0.027,False,0.0,0.63,1.18
2022-04-11,Cannon Beach,45.881944,-123.959444,2.63,12.77,32.59,1.09,-0.75,0.64,7358.9,0.01787,4.425,4,2.63,4.29,0,0.064,False,2.13,4.29,6.94
2022-04-18,Cannon Beach,45.881944,-123.959444,1.93,13.63,13.28,0.56,-0.71,0.07,6664.3,0.01678,4.311,4,1.93,4.01,0,0.06,False,0.83,4.01,11.56
2022-04-25,Cannon Beach,45.881944,-123.959444,,13.56,11.67,0.68,-0.57,0.28,7714.0,0.01846,4.617,4,1.93,8.31,1,0.158,True,4.44,8.31,11.78
2022-05-02,Cannon Beach,45.881944,-123.959444,2.93,13.98,9.84,0.52,-0.96,0.25,12911.7,0.02407,5.174,5,2.93,6.44,1,0.105,True,0.02,6.44,8.8
2022-05-09,Cannon Beach,45.881944,-123.959444,22.76,13.74,-4.17,0.83,-0.75,-0.24,9618.0,0.02404,4.726,5,22.76,16.88,1,0.615,True,10.51,16.88,27.84
2022-05-16,Cannon Beach,45.881944,-123.959444,1.18,13.75,-1.21,0.56,-0.9,0.59,10452.0,0.02656,4.87,5,1.18,5.02,1,0.076,False,2.36,5.02,12.05
2022-05-23,Cannon Beach,45.881944,-123.959444,1.6,13.35,-0.06,0.91,-0.73,0.49,10044.3,0.02025,4.641,5,1.6,2.93,0,0.047,False,0.7,2.93,4.38
2022-05-30,Cannon Beach,45.881944,-123.959444,14.1,13.55,15.84,1.25,-0.63,0.24,10455.2,0.02102,4.825,5,14.1,17.27,1,0.638,True,7.0,17.27,29.53
2022-06-06,Cannon Beach,45.881944,-123.959444,,13.53,-11.34,0.98,-0.51,-0.0,12786.1,0.0223,4.655,6,14.1,11.11,1,0.274,True,7.16,11.11,18.46
2022-06-13,Cannon Beach,45.881944,-123.959444,2.24,13.36,16.02,0.96,-0.64,0.54,11635.9,0.01999,5.679,6,2.24,5.57,1,0.086,False,2.49,5.57,9.58
2022-06-20,Cannon Beach,45.881944,-123.959444,1.99,13.6,15.49,0.74,-0.69,0.71,10564.8,0.02046,4.633,6,1.99,8.98,1,0.182,True,3.05,8.98,17.35
2022-06-27,Cannon Beach,45.881944,-123.959444,,12.83,-3.48,1.15,-0.36,0.07,14977.9,0.02365,4.613,6,1.99,5.43,1,0.084,False,3.26,5.43,8.82
2022-07-04,Cannon Beach,45.881944,-123.959444,10.5,13.24,-5.72,0.69,-0.62,-0.28,13858.1,0.01901,4.479,7,10.5,8.66,1,0.17,True,2.6,8.66,12.23
2022-07-11,Cannon Beach,45.881944,-123.959444,,12.3,4.68,0.94,-0.62,0.64,11788.9,0.01883,5.074,7,10.5,5.46,1,0.084,False,3.66,5.46,8.23
2022-07-18,Cannon Beach,45.881944,-123.959444,1.46,12.03,-12.38,0.57,-0.41,0.61,13320.1,0.01536,4.372,7,1.46,4.27,0,0.064,False,0.93,4.27,7.74
2022-07-25,Cannon Beach,45.881944,-123.959444,1.39,12.18,0.62,0.62,-1.01,0.53,12460.3,0.01634,4.625,7,1.39,6.76,1,0.113,True,0.48,6.76,11.26
2022-08-01,Cannon Beach,45.881944,-123.959444,1.23,12.22,6.94,0.91,-0.51,0.14,12458.5,0.01384,4.342,8,1.23,1.22,0,0.031,False,0.0,1.22,6.51
2022-08-08,Cannon Beach,45.881944,-123.959444,,11.59,13.49,0.58,-0.7,0.19,14897.3,0.0114,4.638,8,1.23,6.23,1,0.1,True,3.32,6.23,12.97
2022-08-15,Cannon Beach,45.881944,-123.959444,,11.76,-1.67,0.66,-0.8,0.16,11578.1,0.00896,3.328,8,1.23,6.2,1,0.1,True,4.1,6.2,10.84
2022-08-22,Cannon Beach,45.881944,-123.959444,,10.55,-3.95,0.96,-0.32,0.74,12847.4,0.0183,3.082,8,1.23,3.65,0,0.055,False,0.0,3.65,9.36
2022-08-29,Cannon Beach,45.881944,-123.959444,0.67,10.5,-13.33,0.86,-0.35,0.1,7690.3,0.01117,3.062,8,0.67,0.13,0,0.024,False,0.0,0.13,0.81
